Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai30_15.txt - Instance 5,30,15,5000,0.2,0.8,10,1.1,100,3114,2788,22.401341676712036
tai30_15.txt - Instance 6,30,15,5000,0.2,0.8,10,1.1,100,2967,2710,21.29925513267517
tai30_15.txt - Instance 7,30,15,5000,0.2,0.8,10,1.1,100,3144,2773,19.23244047164917
tai30_15.txt - Instance 8,30,15,5000,0.2,0.8,10,1.1,100,2463,2463,17.49953532218933
tai30_15.txt - Instance 9,30,15,5000,0.2,0.8,10,1.1,100,3175,2677,17.45125436782837
tai30_15.txt - Instance 10,30,15,5000,0.2,0.8,10,1.1,100,2940,2615,18.864710330963135
tai30_20.txt - Instance 1,30,20,5000,0.2,0.8,10,1.1,100,3166,3166,33.39331889152527
tai30_20.txt - Instance 2,30,20,5000,0.2,0.8,10,1.1,100,3411,3062,38.44836688041687
tai30_20.txt - Instance 3,30,20,5000,0.2,0.8,10,1.1,100,3220,3174,38.30464315414429
tai30_20.txt - Instance 4,30,20,5000,0.2,0.8,10,1.1,100,3337,3247,30.060248136520386
tai30_20.txt - Instance 5,30,20,5000,0.2,0.8,10,1.1,100,3360,3117,28.55266261100769
tai30_20.txt - Instance 6,30,20,5000,0.2,0.8,10,1.1,100,3326,3309,30.577675104141235
tai30_20.txt - Instance 7,30,20,5000,0.2,0.8,10,1.1,100,3050,3050,37.06518769264221
tai30_20.txt - Instance 8,30,20,5000,0.2,0.8,10,1.1,100,3452,3038,38.748841524124146
tai30_20.txt - Instance 9,30,20,5000,0.2,0.8,10,1.1,100,3207,3058,38.031869888305664
tai30_20.txt - Instance 10,30,20,5000,0.2,0.8,10,1.1,100,3044,3044,37.715757608413696
tai50_15.txt - Instance 1,50,15,5000,0.2,0.8,10,1.1,100,4468,4071,42.42337894439697
tai50_15.txt - Instance 2,50,15,5000,0.2,0.8,10,1.1,100,4474,4086,39.74306106567383
tai50_15.txt - Instance 3,50,15,5000,0.2,0.8,10,1.1,100,3830,3830,41.983466386795044
tai50_15.txt - Instance 4,50,15,5000,0.2,0.8,10,1.1,100,4362,3947,51.57618045806885
tai50_15.txt - Instance 5,50,15,5000,0.2,0.8,10,1.1,100,4978,4090,48.8819215297699
tai50_15.txt - Instance 6,50,15,5000,0.2,0.8,10,1.1,100,4525,4133,38.32005476951599
tai50_15.txt - Instance 7,50,15,5000,0.2,0.8,10,1.1,100,4595,4214,39.87674379348755
tai50_15.txt - Instance 8,50,15,5000,0.2,0.8,10,1.1,100,4380,4204,49.67186713218689
tai50_15.txt - Instance 9,50,15,5000,0.2,0.8,10,1.1,100,4220,4024,50.32441163063049
tai50_15.txt - Instance 10,50,15,5000,0.2,0.8,10,1.1,100,4471,3908,51.167757987976074
