Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai20_20.txt - Instance 2,20,20,100,0.1,0.01,10,0.9,10,2519,2519,0.5693573951721191
tai20_20.txt - Instance 3,20,20,100,0.1,0.01,10,0.9,10,2449,2449,0.49725890159606934
tai20_20.txt - Instance 4,20,20,100,0.1,0.01,10,0.9,10,2773,2773,0.5167238712310791
tai20_20.txt - Instance 5,20,20,100,0.1,0.01,10,0.9,10,2679,2599,0.538973331451416
tai20_20.txt - Instance 6,20,20,100,0.1,0.01,10,0.9,10,2297,2297,0.4276299476623535
tai20_20.txt - Instance 7,20,20,100,0.1,0.01,10,0.9,10,2870,2870,0.3997819423675537
tai20_20.txt - Instance 8,20,20,100,0.1,0.01,10,0.9,10,2621,2604,0.39650869369506836
tai20_20.txt - Instance 9,20,20,100,0.1,0.01,10,0.9,10,2689,2689,0.3877682685852051
tai20_20.txt - Instance 10,20,20,100,0.1,0.01,10,0.9,10,2691,2636,0.4334251880645752
tai30_15.txt - Instance 1,30,15,100,0.1,0.01,10,0.9,10,3120,3013,0.44884753227233887
tai30_15.txt - Instance 2,30,15,100,0.1,0.01,10,0.9,10,3071,3071,0.4334747791290283
tai30_15.txt - Instance 3,30,15,100,0.1,0.01,10,0.9,10,2795,2795,0.3855936527252197
tai30_15.txt - Instance 4,30,15,100,0.1,0.01,10,0.9,10,3068,2810,0.4793431758880615
tai30_15.txt - Instance 5,30,15,100,0.1,0.01,10,0.9,10,3114,3114,0.4021930694580078
tai30_15.txt - Instance 6,30,15,100,0.1,0.01,10,0.9,10,2967,2967,0.3993403911590576
tai30_15.txt - Instance 7,30,15,100,0.1,0.01,10,0.9,10,3144,3144,0.3945348262786865
tai30_15.txt - Instance 8,30,15,100,0.1,0.01,10,0.9,10,2463,2463,0.39084315299987793
tai30_15.txt - Instance 9,30,15,100,0.1,0.01,10,0.9,10,3175,2833,0.38488316535949707
tai30_15.txt - Instance 10,30,15,100,0.1,0.01,10,0.9,10,2940,2828,0.41643428802490234
tai30_20.txt - Instance 1,30,20,100,0.1,0.01,10,0.9,10,3166,3166,0.6498165130615234
tai30_20.txt - Instance 2,30,20,100,0.1,0.01,10,0.9,10,3411,3411,0.6302680969238281
tai30_20.txt - Instance 3,30,20,100,0.1,0.01,10,0.9,10,3220,3220,0.7668459415435791
tai30_20.txt - Instance 4,30,20,100,0.1,0.01,10,0.9,10,3337,3337,0.6663022041320801
tai30_20.txt - Instance 5,30,20,100,0.1,0.01,10,0.9,10,3360,3360,0.669905424118042
tai30_20.txt - Instance 6,30,20,100,0.1,0.01,10,0.9,10,3326,3326,0.6178750991821289
tai30_20.txt - Instance 7,30,20,100,0.1,0.01,10,0.9,10,3050,3050,0.6282322406768799
tai30_20.txt - Instance 8,30,20,100,0.1,0.01,10,0.9,10,3452,3340,0.6602303981781006
tai30_20.txt - Instance 9,30,20,100,0.1,0.01,10,0.9,10,3207,3207,0.7407143115997314
tai30_20.txt - Instance 10,30,20,100,0.1,0.01,10,0.9,10,3044,3044,0.6482493877410889
tai50_15.txt - Instance 1,50,15,100,0.1,0.01,10,0.9,10,4468,4468,0.9846768379211426
tai50_15.txt - Instance 2,50,15,100,0.1,0.01,10,0.9,10,4474,4474,1.149341106414795
tai50_15.txt - Instance 3,50,15,100,0.1,0.01,10,0.9,10,3830,3830,1.0878145694732666
tai50_15.txt - Instance 4,50,15,100,0.1,0.01,10,0.9,10,4362,4284,0.9766139984130859
tai50_15.txt - Instance 5,50,15,100,0.1,0.01,10,0.9,10,4978,4628,1.086266040802002
tai50_15.txt - Instance 6,50,15,100,0.1,0.01,10,0.9,10,4525,4525,0.986649751663208
tai50_15.txt - Instance 7,50,15,100,0.1,0.01,10,0.9,10,4595,4595,0.949465274810791
tai50_15.txt - Instance 8,50,15,100,0.1,0.01,10,0.9,10,4380,4380,0.8803997039794922
tai50_15.txt - Instance 9,50,15,100,0.1,0.01,10,0.9,10,4220,4185,0.9261343479156494
tai50_15.txt - Instance 10,50,15,100,0.1,0.01,10,0.9,10,4471,4124,0.923426628112793
tai50_20.txt - Instance 1,50,20,100,0.1,0.01,10,0.9,10,4577,4577,1.5015239715576172
tai50_20.txt - Instance 2,50,20,100,0.1,0.01,10,0.9,10,4642,4642,1.549567461013794
tai50_20.txt - Instance 3,50,20,100,0.1,0.01,10,0.9,10,4210,4210,1.9169259071350098
tai50_20.txt - Instance 4,50,20,100,0.1,0.01,10,0.9,10,4377,4377,1.6295301914215088
tai50_20.txt - Instance 5,50,20,100,0.1,0.01,10,0.9,10,4536,4536,1.9885621070861816
tai50_20.txt - Instance 6,50,20,100,0.1,0.01,10,0.9,10,4944,4944,1.5505802631378174
tai50_20.txt - Instance 7,50,20,100,0.1,0.01,10,0.9,10,4906,4906,1.4479303359985352
tai50_20.txt - Instance 8,50,20,100,0.1,0.01,10,0.9,10,4539,4539,1.532693862915039
tai50_20.txt - Instance 9,50,20,100,0.1,0.01,10,0.9,10,4651,4651,1.500032901763916
tai50_20.txt - Instance 10,50,20,100,0.1,0.01,10,0.9,10,4879,4879,1.5347175598144531
tai100_20.txt - Instance 1,100,20,100,0.1,0.01,10,0.9,10,7968,7968,4.946674108505249
tai100_20.txt - Instance 2,100,20,100,0.1,0.01,10,0.9,10,7575,7575,5.451719045639038
tai100_20.txt - Instance 3,100,20,100,0.1,0.01,10,0.9,10,8170,8170,5.26423716545105
tai100_20.txt - Instance 4,100,20,100,0.1,0.01,10,0.9,10,8034,8034,4.93634295463562
tai100_20.txt - Instance 5,100,20,100,0.1,0.01,10,0.9,10,8433,8433,5.530184984207153
tai100_20.txt - Instance 6,100,20,100,0.1,0.01,10,0.9,10,7820,7820,5.599420070648193
tai100_20.txt - Instance 7,100,20,100,0.1,0.01,10,0.9,10,8304,8304,4.846635818481445
tai100_20.txt - Instance 8,100,20,100,0.1,0.01,10,0.9,10,7910,7910,5.5793681144714355
tai100_20.txt - Instance 9,100,20,100,0.1,0.01,10,0.9,10,7843,7843,5.085549831390381
tai100_20.txt - Instance 10,100,20,100,0.1,0.01,10,0.9,10,7869,7869,4.838112831115723
tai15_15.txt - Instance 1,15,15,200,0.2,0.01,10,0.9,10,1865,1796,0.2881901264190674
tai15_15.txt - Instance 2,15,15,200,0.2,0.01,10,0.9,10,1911,1752,0.26179075241088867
tai15_15.txt - Instance 3,15,15,200,0.2,0.01,10,0.9,10,1942,1805,0.2926356792449951
tai15_15.txt - Instance 4,15,15,200,0.2,0.01,10,0.9,10,1946,1795,0.2786691188812256
tai15_15.txt - Instance 5,15,15,200,0.2,0.01,10,0.9,10,1725,1725,0.27283143997192383
tai15_15.txt - Instance 6,15,15,200,0.2,0.01,10,0.9,10,1739,1726,0.2781684398651123
tai15_15.txt - Instance 7,15,15,200,0.2,0.01,10,0.9,10,1993,1796,0.277768611907959
tai15_15.txt - Instance 8,15,15,200,0.2,0.01,10,0.9,10,1904,1828,0.3002500534057617
tai15_15.txt - Instance 9,15,15,200,0.2,0.01,10,0.9,10,2057,1927,0.2996513843536377
tai15_15.txt - Instance 10,15,15,200,0.2,0.01,10,0.9,10,1808,1767,0.3435044288635254
tai20_15.txt - Instance 1,20,15,200,0.2,0.01,10,0.9,10,2225,2153,0.4976487159729004
tai20_15.txt - Instance 2,20,15,200,0.2,0.01,10,0.9,10,2266,2229,0.5532910823822021
